property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,3 B/R,Off-Plan Properties,Al Barsha South Fifth,972.47491638796,3,,,38.972589541993,89.72954681123741,0.024047132379463747,42.512709286644316
Villa,3 B/R,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,1044.6035395763656,1238,0.9292262461889188,0.9292262461889188,32.35905246419226,88.4479340831352,14.87315137669833,42.45263148595713
Villa,4 B/R,Existing Properties,Al Yufrah 1,915.8226495726497,70,11.727706972168894,11.727706972168894,37.5330544423505,90.73616891237874,0.8296260670914993,42.399997664072124
Villa,5 B/R,Existing Properties,Wadi Al Safa 5,995.333054626533,4,,,38.972589541993,89.3233934755394,0.036070698569195626,42.39326799917286
Villa,5 B/R,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,1118.29988851728,489,11.506606214563387,11.506606214563387,37.42711585837258,87.1384653224377,5.867500300589155,42.285886000198175
Villa,3 B/R,Off-Plan Properties,Wadi Al Safa 3,1121.5765514678558,220,,,38.972589541993,87.08024415090377,2.6331609955512807,42.23974126117859
Villa,4 B/R,Off-Plan Properties,Dubai Investment Park Second,1615.9420289855075,1273,,,38.972589541993,78.29614346640882,15.293976193338944,42.13667409538764
Villa,3 B/R,Existing Properties,Al Yufrah 1,1055.4364083983648,214,11.701696488135372,11.701696488135372,37.52059173585897,88.25545096131168,2.5610195984128894,41.99707590241967
Villa,4 B/R,Existing Properties,Nad Al Shiba First,1330.2870680044591,544,14.732110931325204,14.732110931325204,38.972589541993,83.37178497536392,6.528796441024408,41.90633059761126
Villa,2 B/R,Existing Properties,Wadi Al Safa 3,1146.2899479747307,4,,,38.972589541993,86.64112577989154,0.036070698569195626,41.5885876904785
Villa,5 B/R,Existing Properties,Wadi Al Safa 3,1193.912114455593,47,,,38.972589541993,85.79495442649896,0.5530840447276663,41.43813895369242
Villa,5 B/R,Existing Properties,Me'Aisem First,1595.649386845039,48,25.7033101757254,25.7033101757254,44.22934815774199,78.65671195232203,0.5651076109173981,41.40177437097689
Villa,4 B/R,Off-Plan Properties,Palm Jumeirah,1274.981419546637,27,,,38.972589541993,84.35447977621082,0.3126127209330287,40.957902293847056
Villa,4 B/R,Off-Plan Properties,Nad Al Shiba First,1342.9640468227426,177,,,38.972589541993,83.14653490556908,2.11614764939281,40.95622581834649
Villa,4 B/R,Off-Plan Properties,Jabal Ali First,1302.310479375697,83,,,38.972589541993,83.86888516237074,0.9859324275580137,40.94688785102002
Villa,4 B/R,Off-Plan Properties,Al Thanyah Fifth,1281.709866220736,26,,,38.972589541993,84.23492581113156,0.30058915474329684,40.91963139108533
Villa,4 B/R,Off-Plan Properties,Wadi Al Safa 4,1296.728446674099,2,,,38.972589541993,83.9680691456885,0.012023566189731874,40.7818612737417
Villa,5 B/R,Existing Properties,Al Goze Fourth,483.0602006688964,39,-9.058476900412703,-9.058476900412703,27.573527801130524,98.4256802082063,0.45689551520981125,40.64849428595606
Villa,5 B/R,Off-Plan Properties,Al Yufrah 1,1009.3232069862506,201,2.48358521601304,2.48358521601304,33.10381060088914,89.07481036747885,2.4047132379463747,40.444909998188585
Villa,5 B/R,Off-Plan Properties,Dubai Investment Park Second,1534.5113340765515,350,,,38.972589541993,79.74303944806263,4.196224600216424,40.351192571259276
Villa,4 B/R,Off-Plan Properties,Jumeirah First,1437.1567261241175,86,,,38.972589541993,81.47287843813082,1.0220031261272093,40.235299973461885
Villa,4 B/R,Off-Plan Properties,Me'Aisem First,1423.6259754738016,11,,,38.972589541993,81.71329869693606,0.12023566189731874,40.12707255825749
Villa,4 B/R,Existing Properties,Al Hebiah Fourth,1343.363062058714,270,8.747750034614876,8.747750034614876,36.10523292921523,83.13944502942114,3.2343393050378744,40.03079454152001
Villa,5 B/R,Off-Plan Properties,World Islands,1476.7586399108138,13,,,38.972589541993,80.76921442067604,0.1442827942767825,39.84865670185537
Villa,4 B/R,Off-Plan Properties,Wadi Al Safa 2,1393.9441657376442,118,10.956257644485422,10.956257644485422,37.16342093104737,82.24069799376727,1.4067572441986294,39.81892921938886
Villa,3 B/R,Existing Properties,Al Hebiah Fourth,1624.5359531772574,417,12.509775398262036,12.509775398262036,37.90777600609101,78.143442885951,5.0018035349284595,39.6065039752074
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 3,1234.2848848011895,16,6.600333789608359,6.600333789608359,35.076316345342306,85.07759349464658,0.18035349284597813,39.58987528510009
Villa,5 B/R,Off-Plan Properties,Palm Jumeirah,1547.597547380156,4,,,38.972589541993,79.51051792205553,0.036070698569195626,39.4494053331277
Villa,3 B/R,Existing Properties,Al Hebiah First,1231.5198810850986,210,2.733949660978463,2.733949660978463,33.2237706366,85.12672328250535,2.512925333653962,39.3301103061224
